ipAddress,countryCode,abuseConfidenceScore,lastReportedAt
65.49.20.106,US,100,2025-05-12T06:15:54+00:00
143.244.57.92,FR,100,2025-05-12T06:15:53+00:00
193.32.162.125,RO,100,2025-05-12T06:15:53+00:00
41.153.30.124,EG,100,2025-05-12T06:15:53+00:00
161.35.223.68,DE,100,2025-05-12T06:15:52+00:00
47.254.192.241,MY,100,2025-05-12T06:15:52+00:00
20.163.5.243,US,100,2025-05-12T06:15:51+00:00
196.251.117.207,NL,100,2025-05-12T06:15:51+00:00
85.239.33.141,MD,100,2025-05-12T06:15:51+00:00
218.92.0.248,CN,100,2025-05-12T06:15:51+00:00
101.36.113.170,HK,100,2025-05-12T06:15:51+00:00
218.92.0.219,CN,100,2025-05-12T06:15:51+00:00
64.62.156.105,US,100,2025-05-12T06:15:51+00:00
123.58.207.127,GB,100,2025-05-12T06:15:51+00:00
218.92.0.187,CN,100,2025-05-12T06:15:50+00:00
190.202.12.166,VE,100,2025-05-12T06:15:50+00:00
96.78.175.36,US,100,2025-05-12T06:15:50+00:00
172.174.234.168,US,100,2025-05-12T06:15:49+00:00
14.103.123.75,CN,100,2025-05-12T06:15:49+00:00
186.233.208.13,BR,100,2025-05-12T06:15:49+00:00
89.45.83.89,RO,100,2025-05-12T06:15:49+00:00
81.30.107.94,LT,100,2025-05-12T06:15:48+00:00
23.176.184.113,NL,100,2025-05-12T06:15:48+00:00
79.124.62.134,BG,100,2025-05-12T06:15:48+00:00
14.103.27.46,CN,100,2025-05-12T06:15:47+00:00
45.154.98.162,NL,100,2025-05-12T06:15:47+00:00
109.166.153.104,RO,100,2025-05-12T06:15:47+00:00
138.197.152.158,CA,100,2025-05-12T06:15:47+00:00
206.168.34.140,US,100,2025-05-12T06:15:47+00:00
52.138.223.216,IE,100,2025-05-12T06:15:46+00:00
91.196.152.34,FR,100,2025-05-12T06:15:46+00:00
103.168.241.32,IN,100,2025-05-12T06:15:46+00:00
143.42.1.44,US,100,2025-05-12T06:15:45+00:00
5.135.194.230,FR,100,2025-05-12T06:15:45+00:00
64.62.156.97,US,100,2025-05-12T06:15:45+00:00
152.42.254.23,SG,100,2025-05-12T06:15:45+00:00
